best_candidate_bt_iptm,best_candidate_bt_pae,best_candidate_contact,best_candidate_plddt,cem_init_method,cem_init_method_id,cem_ranking_metric,cem_round,cem_source_mix,cem_update_rate,elite_count,method,method_id,round_end_entropy,round_start_entropy,samples_per_round,seed
0.22154580056667328,13.463662147521973,2.9932429790496826,0.5067014098167419,contact_preserving_soft_cone,M7c,bt_pae,0,0.0,0.6,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.6391727924346924,2.4056434631347656,8,1
0.37549805641174316,11.161816596984863,2.621760845184326,0.6023064851760864,contact_preserving_soft_cone,M7c,bt_pae,1,0.0,0.6,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.0420420169830322,1.6391727924346924,8,1
0.36124885082244873,11.573295593261719,2.621760845184326,0.5916571617126465,contact_preserving_soft_cone,M7c,bt_pae,2,0.0,0.6,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,0.695583701133728,1.0420420169830322,8,1
0.3683485686779022,12.360311508178711,2.570077419281006,0.6107783317565918,contact_qp_grid,M8a,bt_pae,0,0.0,0.6,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.4975473880767822,2.086702346801758,8,1
0.42078256607055664,11.37524127960205,2.68625545501709,0.6431064605712891,contact_qp_grid,M8a,bt_pae,1,0.0,0.6,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.0151416063308716,1.4975473880767822,8,1
0.4133532643318176,11.258986473083496,2.5990729331970215,0.6420031785964966,contact_qp_grid,M8a,bt_pae,2,0.0,0.6,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,0.6896696090698242,1.0151416063308716,8,1
0.3952881097793579,11.376683235168457,2.54974627494812,0.6237407326698303,naive_weighted,M3,contact,0,0.0,0.6,2,warm_cem_contact_from_M3,WCEMc_M3,1.522903323173523,2.103086233139038,8,1
0.48572349548339844,10.462536811828613,2.611936330795288,0.6717545986175537,naive_weighted,M3,contact,1,0.0,0.6,2,warm_cem_contact_from_M3,WCEMc_M3,1.033538818359375,1.522903323173523,8,1
0.46191349625587463,11.2351655960083,2.6430716514587402,0.6326858997344971,naive_weighted,M3,contact,2,0.0,0.6,2,warm_cem_contact_from_M3,WCEMc_M3,0.7154563665390015,1.033538818359375,8,1
0.3171348571777344,13.587078094482422,2.958763837814331,0.547683596611023,contact_preserving_soft_cone,M7c,contact,0,0.0,0.6,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.6391727924346924,2.4056434631347656,8,1
0.37549805641174316,11.161816596984863,2.621760845184326,0.6023064851760864,contact_preserving_soft_cone,M7c,contact,1,0.0,0.6,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.0420420169830322,1.6391727924346924,8,1
0.36124885082244873,11.573295593261719,2.621760845184326,0.5916571617126465,contact_preserving_soft_cone,M7c,contact,2,0.0,0.6,2,warm_cem_contact_from_M7c,WCEMc_M7c,0.6878242492675781,1.0420420169830322,8,1
0.3683485686779022,12.360311508178711,2.570077419281006,0.6107783317565918,contact_qp_grid,M8a,contact,0,0.0,0.6,2,warm_cem_contact_from_M8a,WCEMc_M8a,1.4975473880767822,2.086702346801758,8,1
0.4325839877128601,12.434615135192871,2.6547789573669434,0.6098521947860718,contact_qp_grid,M8a,contact,1,0.0,0.6,2,warm_cem_contact_from_M8a,WCEMc_M8a,0.9889808893203735,1.4975473880767822,8,1
0.4235260486602783,12.028139114379883,2.650275707244873,0.6115033030509949,contact_qp_grid,M8a,contact,2,0.0,0.6,2,warm_cem_contact_from_M8a,WCEMc_M8a,0.6692118048667908,0.9889808893203735,8,1
0.3952881097793579,11.376683235168457,2.54974627494812,0.6237407326698303,naive_weighted,M3,bt_pae,0,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M3,DWCEMp_M3,1.9774751663208008,2.103086233139038,8,1
0.4886108934879303,9.035858154296875,2.319739818572998,0.7198652029037476,naive_weighted,M3,bt_pae,1,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M3,DWCEMp_M3,1.891524314880371,1.9774751663208008,8,1
0.4607195258140564,9.559369087219238,2.471642017364502,0.7024282813072205,naive_weighted,M3,bt_pae,2,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M3,DWCEMp_M3,1.8362334966659546,1.891524314880371,8,1
0.22154580056667328,13.463662147521973,2.9932429790496826,0.5067014098167419,contact_preserving_soft_cone,M7c,bt_pae,0,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M7c,DWCEMp_M7c,2.2387619018554688,2.4056434631347656,8,1
0.2092415988445282,13.6097412109375,3.04986572265625,0.5092171430587769,contact_preserving_soft_cone,M7c,bt_pae,1,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M7c,DWCEMp_M7c,2.127326488494873,2.2387619018554688,8,1
0.1631368100643158,15.702651977539062,3.162400960922241,0.45881420373916626,contact_preserving_soft_cone,M7c,bt_pae,2,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M7c,DWCEMp_M7c,2.061230421066284,2.127326488494873,8,1
0.3683485686779022,12.360311508178711,2.570077419281006,0.6107783317565918,contact_qp_grid,M8a,bt_pae,0,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M8a,DWCEMp_M8a,1.9629477262496948,2.086702346801758,8,1
0.4350699782371521,9.795758247375488,2.3001275062561035,0.7505815029144287,contact_qp_grid,M8a,bt_pae,1,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M8a,DWCEMp_M8a,1.8837032318115234,1.9629477262496948,8,1
0.4646201729774475,11.500747680664062,2.6289758682250977,0.6333991885185242,contact_qp_grid,M8a,bt_pae,2,0.35,0.3,2,diverse_warm_cem_bt_pae_from_M8a,DWCEMp_M8a,1.8370616436004639,1.8837032318115234,8,1
0.3952881097793579,11.376683235168457,2.54974627494812,0.6237407326698303,naive_weighted,M3,contact,0,0.35,0.3,2,diverse_warm_cem_contact_from_M3,DWCEMc_M3,1.9822661876678467,2.103086233139038,8,1
0.48717200756073,12.395672798156738,2.750532865524292,0.618701696395874,naive_weighted,M3,contact,1,0.35,0.3,2,diverse_warm_cem_contact_from_M3,DWCEMc_M3,1.901113748550415,1.9822661876678467,8,1
0.33938169479370117,13.824623107910156,2.699472188949585,0.5662510395050049,naive_weighted,M3,contact,2,0.35,0.3,2,diverse_warm_cem_contact_from_M3,DWCEMc_M3,1.84669828414917,1.901113748550415,8,1
0.3171348571777344,13.587078094482422,2.958763837814331,0.547683596611023,contact_preserving_soft_cone,M7c,contact,0,0.35,0.3,2,diverse_warm_cem_contact_from_M7c,DWCEMc_M7c,2.2387619018554688,2.4056434631347656,8,1
0.2092415988445282,13.6097412109375,3.04986572265625,0.5092171430587769,contact_preserving_soft_cone,M7c,contact,1,0.35,0.3,2,diverse_warm_cem_contact_from_M7c,DWCEMc_M7c,2.127326488494873,2.2387619018554688,8,1
0.20189695060253143,16.125362396240234,3.0666167736053467,0.46422120928764343,contact_preserving_soft_cone,M7c,contact,2,0.35,0.3,2,diverse_warm_cem_contact_from_M7c,DWCEMc_M7c,2.061230421066284,2.127326488494873,8,1
0.3683485686779022,12.360311508178711,2.570077419281006,0.6107783317565918,contact_qp_grid,M8a,contact,0,0.35,0.3,2,diverse_warm_cem_contact_from_M8a,DWCEMc_M8a,1.9629477262496948,2.086702346801758,8,1
0.4350699782371521,9.795758247375488,2.3001275062561035,0.7505815029144287,contact_qp_grid,M8a,contact,1,0.35,0.3,2,diverse_warm_cem_contact_from_M8a,DWCEMc_M8a,1.8837032318115234,1.9629477262496948,8,1
0.4646201729774475,11.500747680664062,2.6289758682250977,0.6333991885185242,contact_qp_grid,M8a,contact,2,0.35,0.3,2,diverse_warm_cem_contact_from_M8a,DWCEMc_M8a,1.8370616436004639,1.8837032318115234,8,1
